Column Name
Number
Status
Arrival
Departure
Last name
First name
Email
Telephone
Group name
Address
Customer nationality
Send marketing emails
Booker
Creator
Created
Release
Confirmed
Canceled
Count (nights)
Person count
Count (bed, nightly)
Requested category
Space category
Space number
Origin
Channel manager ID
Group channel manager ID
Group channel confirmation number
Travel agency confirmation number
Segment
Rate
Voucher
Products
Company
Travel agency
Average rate (nightly)
Total amount
Canceled cost
Commission
Customer cost
Balance of companions
Payment card type
Payment card number
Expiration
Automatic payment
Bills
Cancellation reason
Notes
Customer notes
Customer classifications
Pricing classification
Booking purpose
Reservation source
Identifier
Company Identifier
Travel agency Identifier
Reservation origin details
Restoration reason
